DateTime,Home_kW,Solar_kW,Powerwall_kW,Grid_kW,BattLevel,GridStatus
2021-02-06T11:55:00.000-05:00,1.1,1.6,-1.5,0.9,96.07,"SystemGridConnected"
2021-02-06T12:00:00.000-05:00,0.3,1.4,-1.4,0.3,97.0,"SystemGridConnected"
2021-02-06T12:05:00.000-05:00,0.7,0.6,-0.6,0.7,98.0,"SystemGridConnected"

2021-02-18T13:35:00.000-05:00,0.1,1,0,-0.9,98.0,"SystemGridConnected"
2021-02-18T13:40:00.000-05:00,0.1,1,0,-0.9,98.0,"SystemGridConnected"
2021-02-18T13:45:00.000-05:00,0.1,1,0,-0.9,98.0,"SystemGridConnected"
2021-02-18T13:50:00.000-05:00,0.1,1,0,-0.9,98.0,"SystemGridConnected"
2021-02-18T13:55:00.000-05:00,0.1,0.9,0,-0.8,98.0,"SystemGridConnected"
2021-02-18T14:00:00.000-05:00,0.1,1,0,-0.9,98.0,"SystemGridConnected"
2021-02-18T14:05:00.000-05:00,0.1,0.9,0,-0.8,98.0,"SystemGridConnected"
2021-02-18T14:10:00.000-05:00,0.1,0.9,0,-0.8,98.0,"SystemGridConnected"
2021-02-18T14:15:00.000-05:00,0.1,0.9,0,-0.8,98.0,"SystemGridConnected"
2021-02-18T14:20:00.000-05:00,0.2,0.8,0,-0.6,98.0,"SystemGridConnected"
2021-02-18T14:25:00.000-05:00,0.2,0.8,0,-0.5,98.0,"SystemGridConnected"
2021-02-18T14:30:00.000-05:00,0.2,0.7,0,-0.5,98.0,"SystemGridConnected"
2021-02-18T14:35:00.000-05:00,0.8,0.6,0,0.2,98.0,"SystemGridConnected"
2021-02-18T14:40:00.000-05:00,2.8,0.6,0,2.2,98.0,"SystemGridConnected"
2021-02-18T14:45:00.000-05:00,2,0.5,0,1.5,98.0,"SystemGridConnected"
2021-02-18T14:50:00.000-05:00,1.8,0.5,0,1.3,98.0,"SystemGridConnected"
2021-02-18T14:55:00.000-05:00,2.2,0.5,0,1.7,98.0,"SystemGridConnected"
2021-02-18T15:00:00.000-05:00,2.3,0.5,0,1.8,98.0,"SystemGridConnected"
2021-02-18T15:05:00.000-05:00,2.3,0.6,0,1.7,98.0,"SystemGridConnected"
2021-02-18T15:10:00.000-05:00,1.7,0.6,0,1.1,98.0,"SystemGridConnected"
2021-02-18T15:15:00.000-05:00,1.2,0.6,0,0.6,98.0,"SystemGridConnected"
2021-02-18T15:20:00.000-05:00,0.9,0.6,0,0.3,98.0,"SystemGridConnected"
2021-02-18T15:25:00.000-05:00,1.4,0.5,0,0.9,98.0,"SystemGridConnected"
2021-02-18T15:30:00.000-05:00,2.4,0.6,0,1.8,98.0,"SystemGridConnected"
2021-02-18T15:35:00.000-05:00,2.2,0.6,0,1.7,98.0,"SystemGridConnected"
2021-02-18T15:40:00.000-05:00,2.2,0.6,0,1.6,98.0,"SystemGridConnected"
2021-02-18T15:45:00.000-05:00,1.6,0.5,0,1.1,98.0,"SystemGridConnected"
2021-02-18T15:50:00.000-05:00,1.7,0.4,0,1.3,98.0,"SystemGridConnected"
2021-02-18T15:55:00.000-05:00,1.6,0.4,0,1.2,98.0,"SystemGridConnected"
2021-02-18T16:00:00.000-05:00,1.5,0.4,0,1.1,98.0,"SystemGridConnected"
2021-02-18T16:05:00.000-05:00,1.4,0.3,0,1.1,98.0,"SystemGridConnected"
2021-02-18T16:10:00.000-05:00,0.8,0.2,0,0.6,98.0,"SystemGridConnected"
2021-02-18T16:15:00.000-05:00,1.1,0.2,0,0.9,98.0,"SystemGridConnected"
2021-02-18T16:20:00.000-05:00,1.7,0.2,0,1.5,98.0,"SystemGridConnected"
2021-02-18T16:25:00.000-05:00,1.8,0.2,0,1.7,98.0,"SystemGridConnected"
2021-02-18T16:30:00.000-05:00,1.7,0.2,0,1.5,98.0,"SystemGridConnected"
2021-02-18T16:35:00.000-05:00,1.6,0.2,0,1.4,98.0,"SystemGridConnected"
2021-02-18T16:40:00.000-05:00,1.7,0.1,0,1.6,98.0,"SystemGridConnected"
2021-02-18T16:45:00.000-05:00,1.7,0,0,1.7,98.0,"SystemGridConnected"
2021-02-18T16:50:00.000-05:00,1.7,0,0,1.7,98.0,"SystemGridConnected"
2021-02-18T16:55:00.000-05:00,1.4,0,0,1.4,98.0,"SystemGridConnected"
2021-02-18T17:00:00.000-05:00,0.6,0,0,0.6,98.0,"SystemGridConnected"
2021-02-18T17:05:00.000-05:00,1.4,0,0,1.4,98.0,"SystemGridConnected"
2021-02-18T17:10:00.000-05:00,1.8,0,0,1.8,98.0,"SystemGridConnected"
2021-02-18T17:15:00.000-05:00,1.8,0,0,1.8,98.0,"SystemGridConnected"
2021-02-18T17:20:00.000-05:00,1.8,0,0,1.8,98.0,"SystemGridConnected"
2021-02-18T17:25:00.000-05:00,1.4,0,0,1.4,98.0,"SystemGridConnected"
2021-02-18T17:30:00.000-05:00,1.4,0,0,1.4,98.0,"SystemGridConnected"
2021-02-18T17:35:00.000-05:00,1.4,0,0,1.4,98.0,"SystemGridConnected"
2021-02-18T17:40:00.000-05:00,1.5,0,0,1.5,98.0,"SystemGridConnected"
2021-02-18T17:45:00.000-05:00,1.5,0,0,1.5,98.0,"SystemGridConnected"
2021-02-18T17:50:00.000-05:00,0.9,0,0,0.9,98.0,"SystemGridConnected"
2021-02-18T17:55:00.000-05:00,1.6,0,0,1.6,98.0,"SystemGridConnected"
2021-02-18T18:00:00.000-05:00,2,0,0,2,98.0,"SystemGridConnected"
2021-02-18T18:05:00.000-05:00,1.8,0,0,1.8,98.0,"SystemGridConnected"
2021-02-18T18:10:00.000-05:00,1.5,0,0,1.5,98.0,"SystemGridConnected"
2021-02-18T18:15:00.000-05:00,1.5,0,0,1.5,98.0,"SystemGridConnected"
2021-02-18T18:20:00.000-05:00,1.7,0,0,1.7,98.0,"SystemGridConnected"
2021-02-18T18:25:00.000-05:00,1.5,0,0,1.5,98.0,"SystemGridConnected"
2021-02-18T18:30:00.000-05:00,1.4,0,0,1.4,98.0,"SystemGridConnected"
2021-02-18T18:35:00.000-05:00,1.8,0,0,1.8,98.0,"SystemGridConnected"
2021-02-18T18:40:00.000-05:00,0.7,0,0,0.7,98.0,"SystemGridConnected"
2021-02-18T18:45:00.000-05:00,1.6,0,0,1.6,98.0,"SystemGridConnected"
2021-02-18T18:50:00.000-05:00,2.1,0,0,2.1,98.0,"SystemGridConnected"
2021-02-18T18:55:00.000-05:00,1.5,0,0,1.5,98.0,"SystemGridConnected"
2021-02-18T19:00:00.000-05:00,1.2,0,0,1.2,98.0,"SystemGridConnected"
2021-02-18T19:05:00.000-05:00,1.1,0,0,1.1,98.0,"SystemGridConnected"
2021-02-18T19:10:00.000-05:00,1.2,0,0,1.2,98.0,"SystemGridConnected"
2021-02-18T19:15:00.000-05:00,1.2,0,0,1.2,98.0,"SystemGridConnected"
2021-02-18T19:20:00.000-05:00,1.3,0,0,1.3,98.0,"SystemGridConnected"
2021-02-18T19:25:00.000-05:00,1.2,0,0,1.2,98.0,"SystemGridConnected"
2021-02-18T19:30:00.000-05:00,0.7,0,0,0.7,98.0,"SystemGridConnected"
2021-02-18T19:35:00.000-05:00,1.7,0,0,1.7,98.0,"SystemGridConnected"
2021-02-18T19:40:00.000-05:00,1.8,0,0,1.8,98.0,"SystemGridConnected"
2021-02-18T19:45:00.000-05:00,1.7,0,0,1.7,98.0,"SystemGridConnected"
2021-02-18T19:50:00.000-05:00,1.3,0,0,1.3,98.0,"SystemGridConnected"
2021-02-18T19:55:00.000-05:00,1.2,0,0,1.2,98.0,"SystemGridConnected"
2021-02-18T20:00:00.000-05:00,1.2,0,0,1.2,98.0,"SystemGridConnected"
2021-02-18T20:05:00.000-05:00,1.2,0,0,1.2,98.0,"SystemGridConnected"
2021-02-18T20:10:00.000-05:00,1.2,0,0,1.2,98.0,"SystemGridConnected"
2021-02-18T20:15:00.000-05:00,1.2,0,0,1.2,98.0,"SystemGridConnected"
2021-02-18T20:20:00.000-05:00,0.6,0,0,0.6,98.0,"SystemGridConnected"
2021-02-18T20:25:00.000-05:00,1.8,0,0,1.8,98.0,"SystemGridConnected"
2021-02-18T20:30:00.000-05:00,1.9,0,0,1.9,98.0,"SystemGridConnected"
2021-02-18T20:35:00.000-05:00,1.6,0,0,1.6,98.0,"SystemGridConnected"
2021-02-18T20:40:00.000-05:00,1.4,0,0,1.4,98.0,"SystemGridConnected"
2021-02-18T20:45:00.000-05:00,1.3,0,0,1.3,98.0,"SystemGridConnected"
2021-02-18T20:50:00.000-05:00,1.2,0,0,1.2,98.0,"SystemGridConnected"
2021-02-18T20:55:00.000-05:00,1.2,0,0,1.2,98.0,"SystemGridConnected"
2021-02-18T21:00:00.000-05:00,1.2,0,0,1.2,98.0,"SystemGridConnected"
2021-02-18T21:05:00.000-05:00,1.1,0,0,1.1,98.0,"SystemGridConnected"
2021-02-18T21:10:00.000-05:00,1,0,0,1,98.0,"SystemGridConnected"
2021-02-18T21:15:00.000-05:00,1.9,0,0,1.9,98.0,"SystemGridConnected"
2021-02-18T21:20:00.000-05:00,1.8,0,0,1.8,98.0,"SystemGridConnected"
2021-02-18T21:25:00.000-05:00,1.5,0,0,1.5,98.0,"SystemGridConnected"
2021-02-18T21:30:00.000-05:00,1.3,0,0,1.3,98.0,"SystemGridConnected"
2021-02-18T21:35:00.000-05:00,1.3,0,0,1.3,98.0,"SystemGridConnected"
2021-02-18T21:40:00.000-05:00,1.3,0,0,1.3,98.0,"SystemGridConnected"
2021-02-18T21:45:00.000-05:00,1.3,0,0,1.3,98.0,"SystemGridConnected"
2021-02-18T21:50:00.000-05:00,1.3,0,0,1.3,98.0,"SystemGridConnected"
2021-02-18T21:55:00.000-05:00,1,0,0,1,98.0,"SystemGridConnected"
